case_id,resource,activity,start_time,end_time
0,Clerk-000001,Check application form completeness,2023-02-09T08:00:00.000,2023-02-09T08:28:27.808
1,Clerk-000003,Check application form completeness,2023-02-09T08:30:00.000,2023-02-09T08:59:57.164
0,Clerk-000002,Check credit history,2023-02-09T08:28:27.808,2023-02-09T09:00:01.030
1,Appraiser-000002,Appraise property,2023-02-09T08:59:57.164,2023-02-09T09:00:18.122
2,Clerk-000005,Check application form completeness,2023-02-09T09:00:00.000,2023-02-09T09:04:40.802
2,Clerk-000006,Check credit history,2023-02-09T09:04:40.802,2023-02-09T09:14:41.633
1,Clerk-000004,Check credit history,2023-02-09T08:59:57.164,2023-02-09T09:15:59.425
0,AML Investigator-000001,AML check,2023-02-09T08:28:27.808,2023-02-09T09:25:12.258
0,Appraiser-000001,Appraise property,2023-02-09T08:28:27.808,2023-02-09T09:35:08.311
3,Clerk-000007,Check application form completeness,2023-02-09T09:30:00.000,2023-02-09T09:39:10.904
2,Appraiser-000002,Appraise property,2023-02-09T09:04:40.802,2023-02-09T09:47:18.700
3,Clerk-000008,Check credit history,2023-02-09T09:39:10.904,2023-02-09T09:55:01.283
0,Loan Officer-000001,Assess loan risk,2023-02-09T09:35:08.311,2023-02-09T09:55:08.311
0,Loan Officer-000002,Design loan offer,2023-02-09T09:55:08.311,2023-02-09T10:01:45.244
1,AML Investigator-000002,AML check,2023-02-09T08:59:57.164,2023-02-09T10:21:13.295
0,Senior Officer-000001,Approve loan offer,2023-02-09T10:01:45.244,2023-02-09T10:21:45.244
0,Clerk-000003,Cancel application,2023-02-09T10:21:45.244,2023-02-09T10:26:45.244
4,Clerk-000001,Check application form completeness,2023-02-09T10:00:00.000,2023-02-09T10:35:22.185
5,Clerk-000002,Check application form completeness,2023-02-09T10:30:00.000,2023-02-09T10:36:24.140
5,Clerk-000006,Check credit history,2023-02-09T10:36:24.140,2023-02-09T10:38:03.030
4,Appraiser-000002,Appraise property,2023-02-09T10:35:22.185,2023-02-09T10:39:05.270
5,Appraiser-000002,Appraise property,2023-02-09T10:39:05.270,2023-02-09T10:40:31.540
1,Loan Officer-000003,Assess loan risk,2023-02-09T10:21:13.295,2023-02-09T10:41:13.295
1,Loan Officer-000004,Design loan offer,2023-02-09T10:41:13.295,2023-02-09T10:42:11.527
3,AML Investigator-000002,AML check,2023-02-09T10:21:13.295,2023-02-09T10:50:57.177
3,Appraiser-000001,Appraise property,2023-02-09T09:39:10.904,2023-02-09T10:52:37.300
4,Clerk-000005,Check credit history,2023-02-09T10:35:22.185,2023-02-09T10:58:54.100
1,Senior Officer-000002,Approve loan offer,2023-02-09T10:42:11.527,2023-02-09T11:02:11.527
1,Clerk-000007,Approve application,2023-02-09T11:02:11.527,2023-02-09T11:07:11.527
3,Loan Officer-000001,Assess loan risk,2023-02-09T10:52:37.300,2023-02-09T11:12:37.300
6,Clerk-000004,Check application form completeness,2023-02-09T11:00:00.000,2023-02-09T11:12:56.289
6,Appraiser-000002,Appraise property,2023-02-09T11:12:56.289,2023-02-09T11:19:48.701
6,Clerk-000003,Check credit history,2023-02-09T11:12:56.289,2023-02-09T11:21:56.123
3,Clerk-000008,Reject application,2023-02-09T11:12:37.300,2023-02-09T11:22:37.300
2,AML Investigator-000001,AML check,2023-02-09T09:25:12.258,2023-02-09T11:53:18.768
7,Clerk-000001,Check application form completeness,2023-02-09T11:30:00.000,2023-02-09T11:54:20.729
7,Appraiser-000001,Appraise property,2023-02-09T11:54:20.729,2023-02-09T12:03:56.790
